keyword,lag_weeks,correlation,p_value
flu symptoms,0,-0.9276127991277927,1.2882377345652108e-125
flu symptoms,1,-0.9366696529126358,2.9388614512323047e-133
flu symptoms,2,-0.926889499103348,3.659270197158764e-124
flu symptoms,3,-0.912392932822744,5.774566766109459e-113
flu symptoms,4,-0.8763498611956664,2.0699227246017354e-92
flu near me,0,-0.9208000036647747,3.432724737947608e-120
flu near me,1,-0.9310351858212345,4.1574597300105806e-128
flu near me,2,-0.9231873622196075,3.3400997361885577e-121
flu near me,3,-0.9010623407862365,8.94265518705607e-106
flu near me,4,-0.8788231434006518,1.3990586282086196e-93
flu shot,0,-0.9133534814237818,8.602505291031745e-115
flu shot,1,-0.9289860287423042,2.423903318548102e-126
flu shot,2,-0.9239144097452452,9.000837705873586e-122
flu shot,3,-0.914267646348468,3.006682431076456e-114
flu shot,4,-0.8871053409888846,1.0781078730724424e-97
influenza,0,-0.9215892288976036,8.56162564168e-121
influenza,1,-0.9365613781411408,3.7287387282949465e-133
influenza,2,-0.9361125419956162,2.8363613354614143e-132
influenza,3,-0.9080672677714876,4.131136899710481e-110
influenza,4,-0.8742200302702222,2.011958737848696e-91
